Variances calculated using BTG Mean: 603.078
Blocks Simulated: 100000000
Actual BTG mean block time in this run: 603.08021586

Start: 1569362384.7823122 Stop: 1569408696.936939 Elapsed: 46312.15462684631

Exponential Distribution versus actual Standard Deviation at Depth D

  D, ExpSD, BTGSD, dExpvAct
  1, 603.078000, 617.047480, 13.969480
  2, 852.881087, 882.240557, 29.359470
  3, 1044.561737, 1077.058240, 32.496503
  4, 1206.156000, 1235.013033, 28.857033
  5, 1348.523404, 1369.123081, 20.599677
  6, 1477.233375, 1486.104356, 8.870981
  7, 1595.594409, 1589.925276, -5.669133
  8, 1705.762174, 1683.207263, -22.554911
  9, 1809.234000, 1767.786934, -41.447066
 10, 1907.100087, 1844.996587, -62.103499
 11, 2000.183445, 1915.865947, -84.317498
 12, 2089.123474, 1981.229017, -107.894457
 13, 2174.428652, 2041.732872, -132.695780
 14, 2256.511254, 2097.915573, -158.595681
 15, 2335.711050, 2150.207619, -185.503432
 16, 2412.312000, 2198.968923, -213.343077
 17, 2486.554294, 2244.542653, -242.011642
 18, 2558.643260, 2287.233306, -271.409954
 19, 2628.756057, 2327.294362, -301.461695
 20, 2697.046807, 2364.929414, -332.117394
 21, 2763.650585, 2400.325691, -363.324894
 22, 2828.686556, 2433.635621, -395.050935
 23, 2892.260483, 2465.037222, -427.223262
 24, 2954.466750, 2494.666051, -459.800699
 25, 3015.390000, 2522.632238, -492.757762
 26, 3075.106490, 2549.050886, -526.055604
 27, 3133.685211, 2574.029125, -559.656085
 28, 3191.188818, 2597.659721, -593.529097
 29, 3247.674422, 2620.029458, -627.644964
 30, 3303.194245, 2641.222018, -661.972228
 31, 3357.796196, 2661.299706, -696.496490
 32, 3411.524347, 2680.335082, -731.189265
 33, 3464.419352, 2698.381151, -766.038201
 34, 3516.518807, 2715.527428, -800.991379
 35, 3567.857563, 2731.820343, -836.037220
 36, 3618.468000, 2747.291807, -871.176193
 37, 3668.380261, 2762.008226, -906.372035
 38, 3717.622468, 2776.028024, -941.594444
 39, 3766.220903, 2789.399478, -976.821425
 40, 3814.200173, 2802.154761, -1012.045412
 41, 3861.583359, 2814.324156, -1047.259203
 42, 3908.392139, 2825.931933, -1082.460206
 43, 3954.646910, 2837.007948, -1117.638962
 44, 4000.366891, 2847.582468, -1152.784423
 45, 4045.570211, 2857.682532, -1187.887679
 46, 4090.274002, 2867.331433, -1222.942569
 47, 4134.494465, 2876.559720, -1257.934745
 48, 4178.246948, 2885.380970, -1292.865978
 49, 4221.546000, 2893.847033, -1327.698967
 50, 4264.405434, 2901.950319, -1362.455115
 51, 4306.838374, 2909.729828, -1397.108546
 52, 4348.857304, 2917.169811, -1431.687493
 53, 4390.474112, 2924.289582, -1466.184529
 54, 4431.700125, 2931.112624, -1500.587501
 55, 4472.546151, 2937.644637, -1534.901514
 56, 4513.022507, 2943.878912, -1569.143595
 57, 4553.139052, 2949.844689, -1603.294363
 58, 4592.905213, 2955.577868, -1637.327346
 59, 4632.330015, 2961.075744, -1671.254271
 60, 4671.422101, 2966.349805, -1705.072296
 61, 4710.189754, 2971.405607, -1738.784147
 62, 4748.640921, 2976.251166, -1772.389755
 63, 4786.783228, 2980.889866, -1805.893362
 64, 4824.624000, 2985.330127, -1839.293873
 65, 4862.170278, 2989.595867, -1872.574411
 66, 4899.428833, 2993.699465, -1905.729368
 67, 4936.406179, 2997.623466, -1938.782713
 68, 4973.108589, 3001.397559, -1971.711030
 69, 5009.542106, 3005.005984, -2004.536122
 70, 5045.712555, 3008.478604, -2037.233950
 71, 5081.625553, 3011.823136, -2069.802416
 72, 5117.286521, 3015.037259, -2102.249261
 73, 5152.700691, 3018.138869, -2134.561822
 74, 5187.873117, 3021.133237, -2166.739881
 75, 5222.808685, 3024.008810, -2198.799875
 76, 5257.512114, 3026.772766, -2230.739348
 77, 5291.987973, 3029.434864, -2262.553109
 78, 5326.240680, 3032.000539, -2294.240141
 79, 5360.274513, 3034.473117, -2325.801396
 80, 5394.093615, 3036.832539, -2357.261076
 81, 5427.702000, 3039.089489, -2388.612511
 82, 5461.103558, 3041.270537, -2419.833022
 83, 5494.302062, 3043.379589, -2450.922473
 84, 5527.301170, 3045.422931, -2481.878239
 85, 5560.104432, 3047.403133, -2512.701299
 86, 5592.715295, 3049.318529, -2543.396767
 87, 5625.137105, 3051.170716, -2573.966388
 88, 5657.373111, 3052.960566, -2604.412545
 89, 5689.426473, 3054.683256, -2634.743217
 90, 5721.300260, 3056.335307, -2664.964953
 91, 5752.997457, 3057.924804, -2695.072653
 92, 5784.520967, 3059.486569, -2725.034398
 93, 5815.873614, 3061.000394, -2754.873219
 94, 5847.058146, 3062.458368, -2784.599778
 95, 5878.077240, 3063.866284, -2814.210956
 96, 5908.933500, 3065.233000, -2843.700500
 97, 5939.629465, 3066.555382, -2873.074083
 98, 5970.167607, 3067.844164, -2902.323443
 99, 6000.550336, 3069.112257, -2931.438079
100, 6030.780000, 3070.366122, -2960.413878
101, 6060.858890, 3071.593266, -2989.265624
102, 6090.789239, 3072.792194, -3017.997045
103, 6120.573227, 3073.947150, -3046.626077
104, 6150.212980, 3075.079059, -3075.133921
105, 6179.710574, 3076.187440, -3103.523134
106, 6209.068034, 3077.260247, -3131.807788
107, 6238.287339, 3078.314072, -3159.973267
108, 6267.370422, 3079.343352, -3188.027069
109, 6296.319169, 3080.340949, -3215.978220
110, 6325.135425, 3081.310980, -3243.824445
111, 6353.820994, 3082.263794, -3271.557200
112, 6382.377637, 3083.205126, -3299.172510
113, 6410.807076, 3084.140298, -3326.666779
114, 6439.110998, 3085.044632, -3354.066366
115, 6467.291050, 3085.921396, -3381.369654
116, 6495.348843, 3086.803374, -3408.545469
117, 6523.285956, 3087.651438, -3435.634519
118, 6551.103933, 3088.488269, -3462.615664
119, 6578.804285, 3089.318531, -3489.485753
120, 6606.388491, 3090.124474, -3516.264017
121, 6633.858000, 3090.909445, -3542.948555
122, 6661.214232, 3091.662708, -3569.551524
123, 6688.458575, 3092.435088, -3596.023487
124, 6715.592393, 3093.200869, -3622.391524
125, 6742.617019, 3093.976523, -3648.640496
126, 6769.533761, 3094.739491, -3674.794270
127, 6796.343900, 3095.513417, -3700.830484
128, 6823.048694, 3096.275660, -3726.773034
129, 6849.649375, 3097.018833, -3752.630542
130, 6876.147150, 3097.755089, -3778.392061
131, 6902.543206, 3098.500399, -3804.042806
132, 6928.838703, 3099.244602, -3829.594102
133, 6955.034784, 3099.981924, -3855.052860
134, 6981.132568, 3100.708247, -3880.424320
135, 7007.133151, 3101.421479, -3905.711673
136, 7033.037614, 3102.139892, -3930.897722
137, 7058.847013, 3102.845624, -3956.001389
138, 7084.562388, 3103.533046, -3981.029342
139, 7110.184758, 3104.235432, -4005.949327
140, 7135.715127, 3104.917864, -4030.797263
141, 7161.154477, 3105.598420, -4055.556057
142, 7186.503776, 3106.274546, -4080.229230
143, 7211.763972, 3106.940078, -4104.823894
144, 7236.936000, 3107.615411, -4129.320589
145, 7262.020775, 3108.284470, -4153.736306
146, 7287.019200, 3108.945757, -4178.073443
147, 7311.932158, 3109.594494, -4202.337664
148, 7336.760522, 3110.213329, -4226.547194
149, 7361.505148, 3110.836089, -4250.669058
150, 7386.166875, 3111.429644, -4274.737231
151, 7410.746534, 3112.011871, -4298.734663
152, 7435.244936, 3112.599580, -4322.645356
153, 7459.662883, 3113.204338, -4346.458546
154, 7484.001163, 3113.803011, -4370.198152
155, 7508.260550, 3114.403878, -4393.856672
156, 7532.441806, 3115.018297, -4417.423509
157, 7556.545681, 3115.647923, -4440.897758
158, 7580.572914, 3116.261287, -4464.311627
159, 7604.524231, 3116.873641, -4487.650590
160, 7628.400347, 3117.491317, -4510.909030
161, 7652.201966, 3118.099219, -4534.102747
162, 7675.929781, 3118.701178, -4557.228603
163, 7699.584474, 3119.278424, -4580.306050
164, 7723.166718, 3119.865061, -4603.301656
165, 7746.677173, 3120.479052, -4626.198121
166, 7770.116492, 3121.103817, -4649.012675
167, 7793.485316, 3121.707422, -4671.777894
168, 7816.784278, 3122.286369, -4694.497909
169, 7840.014000, 3122.860783, -4717.153217
170, 7863.175096, 3123.442379, -4739.732717
171, 7886.268171, 3124.033549, -4762.234622
172, 7909.293821, 3124.611987, -4784.681834
173, 7932.252632, 3125.176873, -4807.075759
174, 7955.145184, 3125.757225, -4829.387959
175, 7977.972046, 3126.338783, -4851.633263
176, 8000.733781, 3126.924670, -4873.809112
177, 8023.430944, 3127.513229, -4895.917715
178, 8046.064080, 3128.080449, -4917.983631
179, 8068.633730, 3128.639231, -4939.994499
180, 8091.140422, 3129.200121, -4961.940302
181, 8113.584683, 3129.763954, -4983.820729
182, 8135.967028, 3130.311748, -5005.655280
183, 8158.287967, 3130.852700, -5027.435267
184, 8180.548003, 3131.415490, -5049.132513
185, 8202.747631, 3131.980933, -5070.766699
186, 8224.887341, 3132.537019, -5092.350322
187, 8246.967616, 3133.114394, -5113.853222
188, 8268.988930, 3133.704981, -5135.283949
189, 8290.951755, 3134.273139, -5156.678616
190, 8312.856553, 3134.825072, -5178.031482
191, 8334.703783, 3135.372709, -5199.331074
192, 8356.493895, 3135.896300, -5220.597595
193, 8378.227336, 3136.425590, -5241.801746
194, 8399.904545, 3136.983190, -5262.921355
195, 8421.525957, 3137.538469, -5283.987488
196, 8443.092000, 3138.078917, -5305.013083
197, 8464.603097, 3138.616506, -5325.986592
198, 8486.059667, 3139.151124, -5346.908543
199, 8507.462121, 3139.697067, -5367.765054
200, 8528.810868, 3140.248036, -5388.562831
201, 8550.106309, 3140.795059, -5409.311250
202, 8571.348842, 3141.361975, -5429.986867
203, 8592.538859, 3141.925368, -5450.613490
204, 8613.676748, 3142.503063, -5471.173684
205, 8634.762891, 3143.086613, -5491.676279
206, 8655.797668, 3143.654637, -5512.143030
207, 8676.781450, 3144.218083, -5532.563367
208, 8697.714608, 3144.775113, -5552.939495
209, 8718.597507, 3145.325697, -5573.271810
210, 8739.430505, 3145.882088, -5593.548418
211, 8760.213960, 3146.438751, -5613.775210
212, 8780.948224, 3147.004849, -5633.943375
213, 8801.633643, 3147.566617, -5654.067026
214, 8822.270561, 3148.132109, -5674.138452
215, 8842.859319, 3148.681455, -5694.177863
216, 8863.400251, 3149.212316, -5714.187935
217, 8883.893689, 3149.755460, -5734.138229
218, 8904.339962, 3150.310050, -5754.029911
219, 8924.739393, 3150.874332, -5773.865060
220, 8945.092302, 3151.434713, -5793.657589
221, 8965.399008, 3152.001277, -5813.397731
222, 8985.659823, 3152.564076, -5833.095746
223, 9005.875056, 3153.140175, -5852.734881
224, 9026.045014, 3153.721234, -5872.323780
225, 9046.170000, 3154.296333, -5891.873667
226, 9066.250313, 3154.852469, -5911.397844
227, 9086.286250, 3155.439604, -5930.846646
228, 9106.278103, 3156.040944, -5950.237160
229, 9126.226162, 3156.619644, -5969.606519
230, 9146.130714, 3157.187243, -5988.943471
231, 9165.992042, 3157.743532, -6008.248510
232, 9185.810426, 3158.307631, -6027.502795
233, 9205.586144, 3158.904825, -6046.681319
234, 9225.319471, 3159.493627, -6065.825844
235, 9245.010677, 3160.088167, -6084.922509
236, 9264.660031, 3160.688135, -6103.971896
237, 9284.267799, 3161.280737, -6122.987062
238, 9303.834244, 3161.878042, -6141.956201
239, 9323.359625, 3162.461824, -6160.897801
240, 9342.844202, 3163.045798, -6179.798404
